"","LL","npar","lab","R2","names","aicc_marg","aicc","deltaAIC","AICweight","rank","AICw_std","cumlAIC","topSet","deltaAIC_marg","AICweight_marg","rank_marg","AICw_std_marg","cumlAIC_marg","topSet_marg"
"RS1_3_5_8_BLM",-47.9541,6,78,0.10168314766096,"RS1_3_5_8_BLM",-64.4551962712101,110.5332,5.28508571428571,0.0711800385622903,83,0.00314527952474165,0.895204953414356,"o",52.7887469294266,3.44404843899436e-12,82,3.44400027616284e-12,0.999999941606826,""
"RS1_9_BLM",-50.6882,4,30,0.0250121045159369,"RS1_9_BLM",-81.616123439452,110.552870588235,5.30475630252101,0.0704833934183737,84,0.00311449640420071,0.898319449818557,"o",35.6278197611848,1.8344979793852e-08,17,1.83447232509529e-08,0.999999959951549,""
"RS1_2_6_8_LM",-49.3748,5,43,0.107660743876813,"RS1_2_6_8_LM",-70.6950183147153,110.567781818182,5.31966753246753,0.0699598504675137,85,0.00309136226495433,0.901410812083511,"o",46.5489248859214,7.7988288888958e-11,56,7.79871982722361e-11,0.999999960029536,""
"RS1_3_6_8_10_LM",-47.9862,6,115,0.156977486629879,"RS1_3_6_8_10_LM",-62.6494212124896,110.5974,5.34928571428571,0.0689314423713235,86,0.00304591931502961,0.904456731398541,"o",54.5945219881472,1.39620818357215e-12,96,1.39618865848686e-12,0.999999960030932,""
"RS1_3_5_8_LM",-49.3933,5,79,0.0720190664428919,"RS1_3_5_8_LM",-71.9262557557297,110.604781818182,5.35666753246754,0.0686774916268745,87,0.00303469782522796,0.907491429223769,"o",45.317687444907,1.44340832242432e-10,50,1.44338813727504e-10,0.999999960175271,""
"RS1_1_3_8_10",-46.5026,7,134,0.204923729802679,"RS1_1_3_8_10",-52.0661585465097,110.618103225806,5.36998894009217,0.0682215712574201,88,0.00301455176978991,0.910505980993559,"o",65.1777846541271,7.02787277693816e-15,133,7.02777449659788e-15,0.999999960175278,""
"RS1_1_3_6_8_10_LM",-46.5157,7,139,0.246427349886899,"RS1_1_3_6_8_10_LM",-53.222921333179,110.644303225806,5.39618894009217,0.0673336969479808,89,0.00297531867941192,0.91348129967297,"o",64.0210218674578,1.25317504664514e-14,131,1.25315752178748e-14,0.999999960175291,""
"RS1_1_6_7_BLM",-48.0129,6,63,0.145242525568186,"RS1_1_6_7_BLM",-63.4904935954368,110.6508,5.40268571428572,0.067115325904498,90,0.00296566937343041,0.916446969046401,"o",53.7534496052,2.1261148781307e-12,89,2.12608514576355e-12,0.999999960177417,""
"RS1_2_3_6_LM",-49.4292,5,52,0.108082859538733,"RS1_2_3_6_LM",-71.3754410536481,110.676581818182,5.42846753246754,0.0662557009174574,91,0.00292768455457802,0.919374653600979,"o",45.8685021469886,1.09592620652502e-10,52,1.09591088069259e-10,0.999999960287008,""
"RS1_1_3_6_9_LM",-48.0293,6,121,0.196745467781361,"RS1_1_3_6_9_LM",-61.7948749525571,110.6836,5.43548571428572,0.0660236110900017,92,0.00291742904759963,0.922292082648579,"o",55.4490682480796,9.10726170521795e-13,101,9.10713434594326e-13,0.999999960287919,""
"RS1_3_6_8_10_BLM",-46.5612,7,114,0.165026066947897,"RS1_3_6_8_10_BLM",-54.9978241876879,110.735303225806,5.48718894009217,0.0643386673474352,93,0.0028429753220766,0.925135057970655,"o",62.2461190129489,3.04387628048202e-14,129,3.04383371380414e-14,0.999999960287949,""
"RS1_1_3_5",-48.0579,6,98,0.137611453448135,"RS1_1_3_5",-61.7757877305928,110.7408,5.49268571428571,0.0641620825571083,94,0.00283517245294904,0.927970230423604,"o",55.4681554700439,9.02075897316084e-13,102,9.02063282357196e-13,0.999999960288851,""
"RS1_6_8",-49.4641,5,35,0.0528872894967617,"RS1_6_8",-70.1262901256952,110.746381818182,5.49826753246754,0.0639832616700996,95,0.00282727077593587,0.93079750119954,"o",47.1176530749415,5.86856115540373e-11,59,5.86847908730067e-11,0.999999960347536,""
"RS1_1_3_9_LM",-49.4725,5,106,0.155008622991872,"RS1_1_3_9_LM",-71.1400404339605,110.763181818182,5.51506753246753,0.0634480532942712,96,0.0028036211688274,0.933601122368367,"o",46.1039027666763,9.74237219254294e-11,54,9.74223595165119e-11,0.999999960444958,""
"RS1_7_BLM",-50.8308,4,24,0.022089374655427,"RS1_7_BLM",-82.2005815450623,110.838070588235,5.58995630252102,0.0611162096301439,97,0.00270058244786268,0.93630170481623,"o",35.0433616555745,2.45714453144311e-08,15,2.45711016983636e-08,0.99999998501606,""
"RS1_1_6_8_BLM",-48.1071,6,39,0.141591472440242,"RS1_1_6_8_BLM",-63.7083207739874,110.8392,5.59108571428573,0.0610817066899821,98,0.00269905784358561,0.939000762659816,"o",53.5356224266494,2.37075839678973e-12,87,2.37072524323824e-12,0.999999985018431,""
"RS1_1_3_6_BLM",-48.1137,6,102,0.140105160504826,"RS1_1_3_6_BLM",-64.5036051439601,110.8524,5.60428571428572,0.0606798948634318,99,0.00268130271818283,0.941682065377998,"o",52.7403380566766,3.52842673545054e-12,81,3.5283773926421e-12,0.999999985021959,""
"RS1_8",-50.8712,4,26,0.0242023244813139,"RS1_8",-79.4820013422307,110.918870588235,5.67075630252101,0.0586963255471109,100,0.00259365342657602,0.944275718804575,"o",37.761941858406,6.31100482880859e-09,21,6.31091657341157e-09,0.999999991332876,""
"RS1_1_3_5_8_LM",-48.1542,6,130,0.168014721033385,"RS1_1_3_5_8_LM",-63.2638122970548,110.9334,5.68528571428573,0.0582714591389425,101,0.00257487957310033,0.946850598377675,"o",53.9801309035819,1.8982941443671e-12,91,1.89826759792831e-12,0.999999991334774,""
"RS1_1_6_9",-48.2375,6,65,0.138978103224018,"RS1_1_6_9",-60.9187638029839,111.1,5.85188571428571,0.0536141176205539,102,0.00236908253767589,0.949219680915351,"o",56.3251793976528,5.87682417728077e-13,106,5.8767419936246e-13,0.999999991335362,""
"RS1_7",-50.9795,4,23,0.0185274585989292,"RS1_7",-79.790333897609,111.135470588235,5.88735630252101,0.0526716377583632,103,0.00232743655555921,0.95154711747091,"o",37.4536093030278,7.3629538123841e-09,20,7.3628508461482e-09,0.999999998698213,""
"RS1_2_3_6_BLM",-48.2596,6,51,0.126151033724569,"RS1_2_3_6_BLM",-64.549789576322,111.1442,5.89608571428572,0.0524422425367202,104,0.0023173001169132,0.953864417587823,"",52.6941536243147,3.61085397944183e-12,80,3.61080348394069e-12,0.999999998701823,""
"RS1_1_3",-49.6816,5,95,0.0860386145372935,"RS1_1_3",-71.288052867946,111.181381818182,5.93326753246754,0.0514763002664038,105,0.0022746173858235,0.956139034973647,"",45.9558903326907,1.04907178991221e-10,53,1.04905711930906e-10,0.999999998806729,""
"RS1_3_5_8",-48.3087,6,77,0.0876468058353383,"RS1_3_5_8",-62.301107473996,111.2424,5.99428571428572,0.049929520540827,106,0.00220626880526064,0.958345303778907,"",54.9428357266408,1.17304537596251e-12,100,1.17302897166745e-12,0.999999998807902,""
"RS1_2_6_8_BLM",-48.3338,6,42,0.12531128298776,"RS1_2_6_8_BLM",-64.0806087007753,111.2926,6.04448571428571,0.0486918868541381,107,0.00215158066554481,0.960496884444452,"",53.1633344998614,2.8558052889002e-12,85,2.85576535227577e-12,0.999999998810758,""
"RS1_1_3_8_LM",-49.7668,5,127,0.0990800805031459,"RS1_1_3_8_LM",-72.9328937323605,111.351781818182,6.10366753246754,0.0472721587729691,108,0.00208884620017227,0.962585730644624,"",44.3110494682763,2.38768958082708e-10,43,2.38765619050373e-10,0.999999999049524,""
"RS1_1_3_8_BLM",-48.3952,6,126,0.120264400536545,"RS1_1_3_8_BLM",-65.6827140305553,111.4154,6.16728571428573,0.0457921382217686,109,0.0020234475514793,0.964609178196104,"",51.5612291700814,6.36240551128528e-12,74,6.36231653708235e-12,0.999999999055886,""
"RS1_2_3_8_BLM",-48.4614,6,75,0.115577580252029,"RS1_2_3_8_BLM",-65.4505386447979,111.5478,6.29968571428572,0.042858861301811,110,0.00189383290075575,0.966503011096859,"",51.7934045558389,5.66506766049659e-12,77,5.66498843812091e-12,0.999999999061551,""
"RS1_3_6_8_BLM",-48.4859,6,81,0.0885886590895309,"RS1_3_6_8_BLM",-65.8476913890807,111.5968,6.34868571428572,0.0418215778079816,111,0.0018479977677551,0.968351008864615,"",51.3962518115561,6.90948572422161e-12,73,6.90938909944912e-12,0.99999999906846,""
"RS1_1_8",-49.9236,5,86,0.0937819186184895,"RS1_1_8",-71.5376954907109,111.665381818182,6.41726753246753,0.0404117875216533,112,0.00178570243030754,0.970136711294922,"",45.7062477099258,1.18854167804974e-10,51,1.18852505704873e-10,0.999999999187313,""
"RS1_1_6_7",-48.6304,6,62,0.115410357812269,"RS1_1_6_7",-62.3335991187151,111.8858,6.63768571428572,0.0361946899583664,113,0.00159935874621362,0.971736070041136,"",54.9103440819217,1.19225810347837e-12,99,1.1922414305055e-12,0.999999999188505,""
"RS1_3_6_9_LM",-50.0413,5,55,0.0513789214097243,"RS1_3_6_9_LM",-72.1066988915859,111.900781818182,6.65266753246753,0.0359245718046913,114,0.00158742285638867,0.973323492897524,"",45.1372443090509,1.57969023720314e-10,48,1.57966814623778e-10,0.999999999346472,""
"RS1_2_3_8_LM",-50.0472,5,76,0.0796455717803707,"RS1_2_3_8_LM",-73.2327448320854,111.912581818182,6.66446753246753,0.0357132408703355,115,0.00157808463637363,0.974901577533898,"",44.0111983685514,2.77389299160787e-10,42,2.77385420047494e-10,0.999999999623857,""
"RS1_3_6_8_LM",-50.0574,5,82,0.0467289096260428,"RS1_3_6_8_LM",-73.5915433356293,111.932981818182,6.68486753246754,0.0353508173157929,116,0.00156206998664301,0.976463647520541,"",43.6523998650075,3.31895839559632e-10,41,3.31891198206965e-10,0.999999999955748,""
"RS1_1_6_8",-48.7197,6,38,0.112178323662115,"RS1_1_6_8",-62.4845367530938,112.0644,6.81628571428573,0.0331026196196584,117,0.00146272738548615,0.977926374906027,"",54.759406447543,1.28571873927706e-12,97,1.28570075931652e-12,0.999999999957034,""
"RS1_1_3_5_8_BLM",-47.2458,7,129,0.16588564598569,"RS1_1_3_5_8_BLM",-56.9790749556691,112.104503225806,6.85638894009217,0.0324454691860898,118,0.00143368944387884,0.979360064349906,"",60.2648682449676,8.19690938891148e-14,124,8.19679476033615e-14,0.999999999957116,""
"RS1_1_3_9_BLM",-48.7407,6,105,0.141673001842791,"RS1_1_3_9_BLM",-65.5226559259229,112.1064,6.85828571428571,0.0324147129084987,119,0.00143233039586315,0.980792394745769,"",51.7212872747138,5.87306990104552e-12,76,5.87298776989051e-12,0.999999999962989,""
"RS1_1_3_6",-48.7542,6,101,0.110309812142451,"RS1_1_3_6",-63.2914554955251,112.1334,6.88528571428571,0.0319800548276294,120,0.00141312387125829,0.982205518617027,"",53.9524877051117,1.92471376537617e-12,90,1.92468684947576e-12,0.999999999964914,""
"RS1_1_3_6_8_10_BLM",-45.6706,8,138,0.22124527006427,"RS1_1_3_6_8_10_BLM",-46.9097680935202,112.1412,6.89308571428572,0.0318555755062558,121,0.00140762342101018,0.983613142038038,"",70.3341751071165,5.33492024017364e-16,138,5.33484563470008e-16,0.999999999964914,""
"RS1_3_6_9_BLM",-48.805,6,54,0.0796224623815235,"RS1_3_6_9_BLM",-65.2075092778701,112.235,6.98688571428572,0.0303960425857906,122,0.00134313007283072,0.984956272110868,"",52.0364339227666,5.01685957133469e-12,78,5.01678941373772e-12,0.999999999969931,""
