Location,Station,Log2 Body mass (g) ,del15N,del15Nbaseline,TLbaseline,TLscaled,TLconstant,Reference and data source,
North Sea,14,8.5,13.358,6.109,2.5,4.447994945,4.632058824,Jennings and Warr 2003,
North Sea,14,9.5,15.429,6.109,2.5,5.327204065,5.241176471,Jennings and Warr 2003,
North Sea,14,11.5,15.274,6.109,2.5,5.252286715,5.195588235,Jennings and Warr 2003,
North Sea,15,5.5,12.262,7.201,2.5,3.838186667,3.988529412,Jennings and Warr 2003,
North Sea,15,6.5,13.337,7.201,2.5,4.212899917,4.304705882,Jennings and Warr 2003,
North Sea,15,7.5,12.93,7.201,2.5,4.065786701,4.185,Jennings and Warr 2003,
North Sea,15,11.5,15.585,7.201,2.5,5.177115129,4.965882353,Jennings and Warr 2003,
North Sea,16,5.5,12.424,7.619,2.5,3.800398064,3.913235294,Jennings and Warr 2003,
North Sea,16,6.5,12.05,7.619,2.5,3.677728074,3.803235294,Jennings and Warr 2003,
North Sea,16,7.5,12.024,7.619,2.5,3.66937372,3.795588235,Jennings and Warr 2003,
North Sea,16,8.5,12.823,7.619,2.5,3.936709314,4.030588235,Jennings and Warr 2003,
North Sea,16,9.5,12.966,7.619,2.5,3.987021967,4.072647059,Jennings and Warr 2003,
North Sea,17,5.5,12.523,7.229,2.5,3.919136299,4.057058824,Jennings and Warr 2003,
North Sea,17,6.5,13.274,7.229,2.5,4.183629852,4.277941176,Jennings and Warr 2003,
North Sea,17,7.5,13.03,7.229,2.5,4.09525834,4.206176471,Jennings and Warr 2003,
North Sea,17,8.5,13.042,7.229,2.5,4.099547494,4.209705882,Jennings and Warr 2003,
North Sea,17,9.5,14.058,7.229,2.5,4.485454503,4.508529412,Jennings and Warr 2003,
North Sea,18,5.5,15.096,7.632,2.5,4.846665535,4.695294118,Jennings and Warr 2003,
North Sea,18,6.5,14.861,7.632,2.5,4.73917412,4.626176471,Jennings and Warr 2003,
North Sea,18,7.5,15.969,7.632,2.5,5.281220969,4.952058824,Jennings and Warr 2003,
North Sea,18,8.5,15.441,7.632,2.5,5.011367356,4.796764706,Jennings and Warr 2003,
North Sea,18,9.5,13.788,7.632,2.5,4.289895479,4.310588235,Jennings and Warr 2003,
North Sea,18,10.5,15.462,7.632,2.5,5.021673753,4.802941176,Jennings and Warr 2003,
North Sea,19,5.5,15.344,7.992,2.5,4.883138156,4.662352941,Jennings and Warr 2003,
North Sea,19,6.5,15.479,7.992,2.5,4.948989037,4.702058824,Jennings and Warr 2003,
North Sea,19,7.5,15.241,7.992,2.5,4.833798457,4.632058824,Jennings and Warr 2003,
North Sea,19,8.5,15.849,7.992,2.5,5.136794677,4.810882353,Jennings and Warr 2003,
North Sea,19,9.5,15.344,7.992,2.5,4.883138156,4.662352941,Jennings and Warr 2003,
North Sea,20,5.5,15.218,8.399,2.5,4.728689113,4.505588235,Jennings and Warr 2003,
North Sea,20,6.5,15.119,8.399,2.5,4.682135853,4.476470588,Jennings and Warr 2003,
North Sea,20,7.5,15.502,8.399,2.5,4.866149801,4.589117647,Jennings and Warr 2003,
North Sea,20,8.5,15.375,8.399,2.5,4.80394361,4.551764706,Jennings and Warr 2003,
North Sea,20,9.5,14.99,8.399,2.5,4.622481241,4.438529412,Jennings and Warr 2003,
North Sea,21,5.5,14.959,8.293,2.5,4.633113718,4.460588235,Jennings and Warr 2003,
North Sea,21,6.5,15.602,8.293,2.5,4.940805397,4.649705882,Jennings and Warr 2003,
North Sea,21,7.5,16.131,8.293,2.5,5.218385726,4.805294118,Jennings and Warr 2003,
North Sea,21,8.5,13.864,8.293,2.5,4.169264309,4.138529412,Jennings and Warr 2003,
North Sea,21,10.5,17.266,8.293,2.5,5.911031736,5.139117647,Jennings and Warr 2003,
North Sea,21,11.5,17.98,8.293,2.5,6.439504054,5.349117647,Jennings and Warr 2003,
North Sea,22,5.5,11.341,5.63,2.5,3.871050191,4.179705882,Jennings and Warr 2003,
North Sea,22,6.5,12.42,5.63,2.5,4.212683016,4.497058824,Jennings and Warr 2003,
North Sea,22,7.5,11.848,5.63,2.5,4.027013809,4.328823529,Jennings and Warr 2003,
North Sea,22,8.5,13.433,5.63,2.5,4.570731842,4.795,Jennings and Warr 2003,
North Sea,22,9.5,14.145,5.63,2.5,4.848949951,5.004411765,Jennings and Warr 2003,
North Sea,22,10.5,14.99,5.63,2.5,5.214240259,5.252941176,Jennings and Warr 2003,
North Sea,23,5.5,10.766,5.675,2.5,3.694177745,3.997352941,Jennings and Warr 2003,
North Sea,23,6.5,12.033,5.675,2.5,4.077098801,4.37,Jennings and Warr 2003,
North Sea,23,7.5,12.905,5.675,2.5,4.370298093,4.626470588,Jennings and Warr 2003,
North Sea,23,8.5,12.673,5.675,2.5,4.289611822,4.558235294,Jennings and Warr 2003,
North Sea,23,9.5,13.334,5.675,2.5,4.525119832,4.752647059,Jennings and Warr 2003,
North Sea,24,5.5,11.565,5.159,2.5,4.029552616,4.384117647,Jennings and Warr 2003,
North Sea,24,6.5,11.095,5.159,2.5,3.888585247,4.245882353,Jennings and Warr 2003,
North Sea,24,7.5,10.461,5.159,2.5,3.707825922,4.059411765,Jennings and Warr 2003,
North Sea,24,8.5,12.241,5.159,2.5,4.243943007,4.582941176,Jennings and Warr 2003,
North Sea,24,9.5,12.325,5.159,2.5,4.271622723,4.607647059,Jennings and Warr 2003,
North Sea,24,13.5,14.375,5.159,2.5,5.034829424,5.210588235,Jennings and Warr 2003,
North Sea,25,5.5,11.701,5.389,2.5,4.027648375,4.356470588,Jennings and Warr 2003,
North Sea,25,6.5,12.102,5.389,2.5,4.154773447,4.474411765,Jennings and Warr 2003,
North Sea,25,7.5,12.711,5.389,2.5,4.358122966,4.653529412,Jennings and Warr 2003,
North Sea,25,8.5,10.865,5.389,2.5,3.777926194,4.110588235,Jennings and Warr 2003,
North Sea,25,9.5,13.083,5.389,2.5,4.48905826,4.762941176,Jennings and Warr 2003,
North Sea,25,10.5,11.414,5.389,2.5,3.939688373,4.272058824,Jennings and Warr 2003,
North Sea,26,5.5,11.801,6.903,2.5,3.753777123,3.940588235,Jennings and Warr 2003,
North Sea,26,6.5,13.143,6.903,2.5,4.205591045,4.335294118,Jennings and Warr 2003,
North Sea,26,7.5,12.924,6.903,2.5,4.127332055,4.270882353,Jennings and Warr 2003,
North Sea,26,8.5,12.682,6.903,2.5,4.043038356,4.199705882,Jennings and Warr 2003,
North Sea,26,10.5,13.997,6.903,2.5,4.530626084,4.586470588,Jennings and Warr 2003,
North Sea,26,11.5,14.618,6.903,2.5,4.789778594,4.769117647,Jennings and Warr 2003,
North Sea,27,5.5,13.879,7.388,2.5,4.379410473,4.409117647,Jennings and Warr 2003,
North Sea,27,6.5,12.343,7.388,2.5,3.824320371,3.957352941,Jennings and Warr 2003,
North Sea,27,7.5,13.018,7.388,2.5,4.056411371,4.155882353,Jennings and Warr 2003,
North Sea,27,8.5,13.226,7.388,2.5,4.131486414,4.217058824,Jennings and Warr 2003,
North Sea,27,9.5,14.443,7.388,2.5,4.610309053,4.575,Jennings and Warr 2003,
North Sea,27,10.5,14.525,7.388,2.5,4.645321408,4.599117647,Jennings and Warr 2003,
North Sea,27,12.5,14.922,7.388,2.5,4.820511738,4.715882353,Jennings and Warr 2003,
North Sea,28,5.5,14.136,6.5,2.5,4.670940318,4.745882353,Jennings and Warr 2003,
North Sea,28,6.5,14.328,6.5,2.5,4.750238677,4.802352941,Jennings and Warr 2003,
North Sea,28,7.5,13.663,6.5,2.5,4.48363371,4.606764706,Jennings and Warr 2003,
North Sea,28,8.5,13.868,6.5,2.5,4.563461169,4.667058824,Jennings and Warr 2003,
North Sea,28,9.5,15.933,6.5,2.5,5.504250251,5.274411765,Jennings and Warr 2003,
North Sea,29,5.5,14.803,7.654,2.5,4.708300198,4.602647059,Jennings and Warr 2003,
North Sea,29,6.5,14.318,7.654,2.5,4.498990524,4.46,Jennings and Warr 2003,
North Sea,29,7.5,14.863,7.654,2.5,4.735179429,4.620294118,Jennings and Warr 2003,
North Sea,29,8.5,15.012,7.654,2.5,4.802929816,4.664117647,Jennings and Warr 2003,
North Sea,29,10.5,14.923,7.654,2.5,4.762287978,4.637941176,Jennings and Warr 2003,
North Sea,30,5.5,14.099,7.519,2.5,4.438730206,4.435294118,Jennings and Warr 2003,
North Sea,30,6.5,14.787,7.519,2.5,4.731085958,4.637647059,Jennings and Warr 2003,
North Sea,30,7.5,14.438,7.519,2.5,4.57942443,4.535,Jennings and Warr 2003,
North Sea,30,8.5,14.611,7.519,2.5,4.653698789,4.585882353,Jennings and Warr 2003,
North Sea,30,9.5,17.145,7.519,2.5,6.005043409,5.331176471,Jennings and Warr 2003,
North Sea,31,5.5,12.334,6.518,2.5,4.006018972,4.210588235,Jennings and Warr 2003,
North Sea,31,6.5,12.771,6.518,2.5,4.154185531,4.339117647,Jennings and Warr 2003,
North Sea,31,7.5,13.063,6.518,2.5,4.257185309,4.425,Jennings and Warr 2003,
North Sea,31,8.5,13.484,6.518,2.5,4.411824062,4.548823529,Jennings and Warr 2003,
North Sea,31,9.5,12.883,6.518,2.5,4.193298592,4.372058824,Jennings and Warr 2003,
North Sea,32,5.5,11.522,6.349,2.5,3.782471256,4.021470588,Jennings and Warr 2003,
North Sea,32,6.5,12.195,6.349,2.5,3.994965349,4.219411765,Jennings and Warr 2003,
North Sea,32,7.5,10.579,6.349,2.5,3.506777981,3.744117647,Jennings and Warr 2003,
North Sea,32,8.5,12.335,6.349,2.5,4.04101277,4.260588235,Jennings and Warr 2003,
North Sea,32,9.5,13.297,6.349,2.5,4.376868466,4.543529412,Jennings and Warr 2003,
North Sea,32,10.5,12.013,6.349,2.5,3.936084293,4.165882353,Jennings and Warr 2003,
North Sea,33,5.5,11.275,5.67,2.5,3.843489829,4.148529412,Jennings and Warr 2003,
